country,immigrated_pop,emigrated_pop,gdp_growth_rate,inflation,unemployment,crime_rate,Stability,Poverty,Terrorism
Norway,221774,5607,1.967128438,2.171136654,3.099999905,0.4615538171,Stable,0.36,1.109
Guatemala,8466,193217,4.092170816,2.388720328,6.900000095,22.5,moderate,43.29,0
Russia,448566,61319,-1.972719226,15.53440505,1.148000002,11.48118304,moderate,3.27,4.219
Portugal,101989,44258,1.792046046,0.4879386239,4.559999943,0.9,Stable,17.2,0
Argentina,280344,5204,2.731159828,26.7,18.26000023,6.586123277,moderate,1.64,2.657
Egypt,43624,564426,4.372019078,10.37049034,10.84054939,2.6,Unstable,73.43,6.932
Equatorial Guinea,200953,32557,-9.110041149,1.676630853,24.89999962,3.2,moderate,76.8,0
Cameroon,216872,70076,5.666952991,2.685982772,4.46600008,1.154586912,moderate,67.59,7.432
Spain,0,182212,3.83517266,-0.5003657099,6.190000057,0.6470700294,Stable,2.4,2.861
Myanmar,0,350220,3.277279417,9.454171895,11.93392076,2.186758102,Unstable,54.3,7.83
Sao Tome and Principe,0,4234,3.911337989,5.250170864,7.21999979,3.25,moderate,86.18,0
Turkey,2972448,364604,6.084486904,7.670853648,10.24,2.846067371,moderate,10.2,5.651
El Salvador,1717,175810,2.398973133,-0.7313844874,4,105.2311885,moderate,22.31,0
Ethiopia,592894,162206,10.39246302,9.56889956,10.03105446,8.8,moderate,85.67,3.759
Saudi Arabia,2341410,67568,4.106393864,1.206073222,17.48999977,1.3,Stable,12.7,3.11
United Arab Emirates,678429,22715,5.060334864,4.069966084,7.520999908,0.6477455863,Stable,0.1,0
Bangladesh,76633,511411,6.552639879,6.19428023,9.140000343,2.582296097,moderate,76.01,4.411
Sierra Leone,0,12566,-20.59877072,6.693679279,4,1.728967838,moderate,92.08,0
Israel,55537,0,2.279679419,-0.6343906511,11.89999962,1.378705962,moderate,2.47,4.778
Aruba,1786,3097,3.54362966,0.4747635973,6.490041203,1.9,moderate,0,0
Angola,295811,0,0.9399999994,9.150372075,17.19000053,4.8,moderate,89.13,0.291
Switzerland,183014,20470,1.657768711,-1.143908672,8.215000153,0.6870139301,Stable,0,2.522
Ireland,28714,7173,25.17624519,-0.289879079,11.17000008,0.6663198937,Stable,0.14,1.06
Haiti,865,343852,2.562508835,6.731840697,6.809999943,10.01351965,Unstable,73.5,0
Samoa,0,12035,4.296880533,0.7244701349,8.5,3.58,moderate,26.78,0
Luxembourg,85746,7318,2.269784484,0.4747431614,9.869999886,0.8822372124,Stable,0.58,0
Mauritania,81632,438,5.376339237,3.237703083,7.409999847,10.2,moderate,58.8,0.509
Tonga,0,7682,1.171888256,-1.05399832,5.143848195,2.87,moderate,27.5,0
Iran,7542,169926,-1.424884939,12.48468156,10.72500038,2.5,moderate,17.8,5.015
Indonesia,30637,649132,4.8763223,6.363121131,4.598431025,0.64,moderate,52.84,5.5
Costa Rica,5918,5920,3.652080968,0.8019820051,10.55252863,11.48973608,moderate,10.62,0
Slovakia,31305,86729,5.215649803,-0.3252197774,8.960000038,0.8094761696,moderate,2.45,0
Guyana,479,42025,0.6875212101,-1.001734328,6.627929999,19.41537567,moderate,23.84,0
Iceland,3981,4552,4.436663719,1.633055582,5.25,0.9084384851,Stable,0.04,0
Guinea,0,37545,3.825921667,10.82068212,9.467000008,17.3,Unstable,85.7,0
Japan,98038,7616,1.560626697,0.7952796306,4.929999828,0.2836266795,Stable,1.21,1.46
Bahrain,56081,4486,2.485378558,1.848627424,12,0.5831528597,Stable,0,2.145
Burkina Faso,30238,84040,3.921228794,0.7248389811,4.366000175,1.25,Unstable,89.96,8.27
Hungary,38892,89688,3.703259936,-0.06164468006,5.708400063,2.260193241,Stable,1.94,0
Niger,126516,39096,4.264174538,3.394015384,14.72900009,11.92,moderate,54.08,0
Mauritius,3749,17683,3.55307173,1.286549708,5.863999844,1.66738523,moderate,10.3,0
Uzbekistan,0,87082,7.218773508,8.5,19.09000015,1.635975634,moderate,75.14,0
France,568352,162448,1.112912341,0.03751438051,10.35,1.570131652,Stable,0.11,4.562
Poland,0,360700,4.23632685,-0.8741258741,5.1869389,0.7835079259,Stable,1.2,0
Democratic Republic of Congo,220136,273678,6.91616712,0.7441989948,20.4470005,13.5,Unstable,96.78,0
Jamaica,0,41806,0.9214871254,3.691542289,13.07999992,41.81909247,moderate,29.93,0
Lebanon,1123068,57479,0.4623207918,-3.749145248,2.079999924,3.536067351,Unstable,2.5,3.566
Estonia,0,35476,1.853020046,-0.4923260065,2.273999929,3.421194681,Stable,0.71,0
